"ID (14)","Location","SB196","1_3","SB207","2_3","SB85","3_3","SB100","3_4","GCPM_2425","5_3","GCPM_961","6_2","SB194","7_2","SB243","8_complicated","SB233","9_complicated","SB88","10_complicated","SB201","11_complicated","WPMS_15","12_3","SB210","13_complicated","SB 38","14_2"
"Se527","VirginR",192,192,92,92,98,98,115,115,197,200,151,151,115,115,114,114,190,190,99,102,209,209,163,163,137,137,117,117
"Se528","VirginR",183,186,92,92,98,98,109,115,197,200,151,156,113,113,114,114,190,190,102,102,201,201,163,163,137,137,117,117
"Se529","VirginR",183,183,92,92,98,98,115,115,200,200,149,151,113,113,114,114,190,190,102,102,201,201,163,163,133,133,117,117
"Se530","VirginR",183,186,92,92,98,98,109,115,197,200,149,151,115,115,114,114,190,190,99,102,201,209,163,163,133,133,117,117
"Se531","VirginR",192,192,92,92,98,98,115,115,200,200,151,160,115,115,114,114,190,190,99,99,248,248,163,163,137,137,117,117
"Se532","VirginR",186,192,94,94,98,98,115,115,197,200,149,156,115,115,114,114,190,190,96,102,233,233,163,163,133,137,117,117
"Se533","VirginR",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,102,102,201,209,163,163,133,137,117,117
"Se534","VirginR",192,192,94,94,98,98,115,115,197,200,151,156,115,115,114,114,190,190,102,102,209,233,163,163,133,137,117,117
"Se535","VirginR",192,192,92,92,98,98,115,115,200,200,149,156,113,113,114,114,190,190,99,102,207,207,163,163,,,117,117
"Se536","VirginR",183,192,92,92,98,98,109,115,197,200,151,151,115,115,114,114,190,190,99,102,201,209,163,163,133,133,117,117
"Se537","VirginR",189,189,92,94,92,98,115,115,175,200,149,151,115,115,114,114,190,190,102,102,201,201,163,163,133,137,117,117
"Se538","VirginR",192,192,92,92,98,98,115,115,197,203,151,151,115,115,114,114,190,190,99,102,201,209,163,163,133,133,117,117
"Se539","VirginR",192,192,92,92,98,98,109,115,197,200,151,151,115,115,114,114,190,190,102,102,201,209,163,163,133,137,117,117
"Se540","VirginR",183,192,92,92,98,98,115,115,197,200,148,151,115,115,114,114,190,190,96,99,201,207,163,163,133,137,117,117
"Se154","DavisD",192,192,92,92,98,98,115,115,200,203,151,160,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se71","Cibola",192,198,92,92,98,101,115,115,185,200,151,151,113,113,114,114,190,190,99,102,211,211,163,163,133,133,117,117
"Se72","Cibola",192,198,92,92,98,101,115,115,185,200,151,151,115,115,114,114,190,190,99,102,211,211,163,163,133,133,117,117
"Se73","Cibola",192,192,92,92,98,98,115,115,200,206,,,115,115,114,114,163,163,,,,,163,163,102,102,117,117
